Mese,gtrends_inflation,gtrends_deflation,gtrends_index(1-0),aspettative_istat,inflation,std_gtrends_inflation,std_gtrend_index(1-0),MA(4)_inflation,ma(4)_std_gtrends_index(1-0),delta_gtrends_index,std_delta_gtrends_index,ma(4)_std_delta_gtrends_index,ma(4)_aspettative,infl,ma(4)_std_delta_gtrends_index
gen-04,100,0,100,-1.186810131,0.00000000000000,5.982037939,5.982037939,,,#VALORE!,#VALORE!,,,,
feb-04,50,8,50,-1.463869818,0.24330900243308,1.988917756,1.988917756,,,-50,-4.236982671,,,,
mar-04,62,0,62,-1.441212065,0.32362459546930,2.9472666,2.9472666,,,12,1.053502275,,,,
apr-04,48,0,48,-1.631537824,0.24193548387097,1.829192949,1.829192949,,,-14,-1.165088186,,,,
mag-04,100,0,100,-1.612173839,0.24135156878518,5.982037939,5.982037939,0.26255516263963,3.186853811,52,4.466718369,0.029537447,-1.537198387,0.08001608954897,0.029537447
giu-04,42,0,42,-1.313578024,0.16051364365967,1.350018527,1.350018527,0.24185632294628,3.027129003,-58,-4.919625889,-0.141123358,-1.499625438,0.07982439589076,-0.141123358
lug-04,58,7,58,-1.244068886,0.08012820512825,2.627816985,2.627816985,0.18098222536102,2.9472666,16,1.394823885,-0.055792955,-1.450339643,0.079824396,-0.055792955
ago-04,17,0,17,-0.717222825,0.24019215372298,-0.646541564,-0.646541564,0.18054639282402,2.328332972,-41,-3.469009049,-0.631773171,-1.221760893,0.15944223,-0.631773171
set-04,47,0,47,-0.866919793,0.00000000000000,1.749330545,1.749330545,0.12020850062773,1.270156123,30,2.589449517,-1.101090384,-1.035447382,0.218839259,-1.101090384
ott-04,48,6,48,-1.463245118,0.00000000000000,1.829192949,1.829192949,0.08008008971281,1.389949729,1,0.114867849,0.15753305,-1.072864156,0.198539876,0.15753305
nov-04,42,0,42,-1.401226179,0.07987220447288,1.350018527,1.350018527,0.08001608954897,1.070500114,-6,-0.482444967,-0.311784162,-1.112153479,0.277528817,-0.311784162
dic-04,40,0,40,-1.712122069,0.23942537909017,1.19029372,1.19029372,0.07982439589076,1.529708935,-2,-0.141123358,0.52018726,-1.36087829,0.197910983,0.52018726
gen-05,50,0,50,-1.046594123,0.00000000000000,1.988917756,1.988917756,0.07982439589076,1.589605738,10,0.88284147,0.093535249,-1.405796872,0.2169711,0.093535249
feb-05,35,0,35,-1.393708059,0.31847133757954,0.790981701,0.790981701,0.15944223028565,1.330052926,-15,-1.250418588,-0.247786361,-1.388412608,0.216629825,-0.247786361
mar-05,18,0,18,-1.156231795,0.31746031746036,-0.566679161,-0.566679161,0.21883925853252,0.850878504,-17,-1.421079393,-0.482444967,-1.327164011,0.137640883,-0.482444967
apr-05,49,0,49,-0.671602166,0.15822784810121,1.909055352,1.909055352,0.19853987578528,1.030568912,31,2.67477992,0.221530852,-1.067034036,0.196372285,0.221530852
mag-05,45,0,45,-0.565028019,0.31595576619278,1.589605738,1.589605738,0.27752881733347,0.930740908,-4,-0.311784162,-0.077125556,-0.94664251,0.117478338,-0.077125556
giu-05,17,0,17,-1.354025549,0.00000000000000,-0.646541564,-0.646541564,0.19791098293859,0.571360091,-28,-2.359713819,-0.354449364,-0.936721882,0.078262652,-0.354449364
lug-05,22,0,22,-0.808502024,0.39370078740166,-0.247229546,-0.247229546,0.21697110042391,0.651222495,5,0.456189459,0.114867849,-0.849789439,0.136810661,0.114867849
ago-05,32,5,32,-0.985501946,0.15686274509799,0.55139449,0.55139449,0.21662982467311,0.311807279,10,0.88284147,-0.333116763,-0.928264384,0.136490474,-0.333116763
set-05,25,0,25,-0.128260275,0.00000000000000,-0.007642335,-0.007642335,0.13764088312491,-0.087504739,-7,-0.567775369,-0.397114565,-0.819072449,0.175234283,-0.397114565
ott-05,35,0,35,0.069127369,0.23492560689115,0.790981701,0.790981701,0.19637228484770,0.271876078,10,0.88284147,0.413524258,-0.463284219,0.252753662,0.413524258
nov-05,41,3,41,-0.724439382,0.07812499999992,1.270156123,1.270156123,0.11747833799727,0.651222495,6,0.541519861,0.434856858,-0.442268559,0.271485406,0.434856858
dic-05,21,0,21,-1.052380242,0.00000000000000,-0.32709195,-0.32709195,0.07826265172277,0.431600885,-20,-1.6770706,-0.205121159,-0.458988133,0.232334591,-0.205121159
gen-06,59,0,59,-0.285112307,0.23419203747073,2.707679389,2.707679389,0.13681066109045,1.110431316,38,3.272092736,0.754845867,-0.49820114,0.251041827,0.754845867
feb-06,30,3,30,-1.027817055,0.23364485981319,0.391669683,0.391669683,0.13649047432096,1.010603311,-29,-2.445044221,-0.077125556,-0.772437246,0.211895433,-0.077125556
mar-06,49,3,49,-0.979557253,0.23310023310012,1.909055352,1.909055352,0.17523428259601,1.170328119,19,1.650815092,0.200198252,-0.836216714,0.115458592,0.200198252
apr-06,17,0,17,-0.975016849,0.31007751937989,-0.646541564,-0.646541564,0.25275366244098,1.090465715,-32,-2.701035428,-0.055792955,-0.816875866,0.077026412,-0.055792955
mag-06,30,2,30,-0.921329816,0.30911901081919,0.391669683,0.391669683,0.27148540577810,0.511463288,13,1.138832678,-0.58910797,-0.975930243,0.019230611,-0.58910797
giu-06,21,0,21,-0.444810237,0.07704160246537,-0.32709195,-0.32709195,0.23233459144114,0.33177288,-9,-0.738436174,-0.162455958,-0.830178539,2.94046E-05,-0.162455958
lug-06,17,3,17,-0.299298219,0.30792917628938,-0.646541564,-0.646541564,0.25104182723846,-0.307126349,-4,-0.311784162,-0.653105772,-0.66011378,0.038343581,-0.653105772
ago-06,35,3,35,0.208065104,0.15349194167301,0.790981701,0.790981701,0.21189543281174,0.052254467,18,1.565484689,0.413524258,-0.364343292,0.134085038,0.413524258
set-06,26,0,26,-0.473689157,-0.07662835249033,0.072220068,0.072220068,0.11545859198436,-0.027607936,-9,-0.738436174,-0.055792955,-0.252433127,0.153066485,-0.055792955
ott-06,26,0,26,-0.061951523,-0.07668711656446,0.072220068,0.072220068,0.07702641222690,0.072220068,0,0.029537447,0.13620045,-0.156718449,0.172004462,0.13620045
nov-06,17,0,17,0.233686428,0.07674597083657,-0.646541564,-0.646541564,0.01923061086370,0.072220068,-9,-0.738436174,0.029537447,-0.023472287,0.228950874,0.029537447
dic-06,24,2,24,-0.640966462,0.07668711656433,-0.087504739,-0.087504739,0.00002940458653,-0.147401542,7,0.626850263,-0.205121159,-0.235730179,0.209285596,-0.205121159
gen-07,47,2,47,-0.349066876,0.07662835249046,1.749330545,1.749330545,0.03834358083173,0.271876078,23,1.992136701,0.477522059,-0.204574608,0.227892828,0.477522059
feb-07,37,0,37,-0.643954038,0.30627871362945,0.950706509,0.950706509,0.13408503838020,0.491497688,-10,-0.823766577,0.264196053,-0.350075237,0.227547422,0.264196053
mar-07,33,3,33,-0.334129849,0.15267175572516,0.631256894,0.631256894,0.15306648460235,0.810947302,-4,-0.311784162,0.370859056,-0.492029306,0.151443921,0.370859056
apr-07,25,2,25,-0.426318139,0.15243902439032,-0.007642335,-0.007642335,0.17200446155885,0.830912903,-8,-0.653105772,0.050870048,-0.438367226,0.169954302,0.050870048
mag-07,35,3,35,0.256199776,0.30441400304405,0.790981701,0.790981701,0.22895087419724,0.591325692,10,0.88284147,-0.22645376,-0.287050563,0.207164094,-0.22645376
giu-07,39,0,39,0.52889177,0.22761760242792,1.110431316,1.110431316,0.20928559639686,0.631256894,4,0.370859056,0.072202648,0.00616089,0.244306111,0.072202648
lug-07,19,0,19,0.511872434,0.22710068130216,-0.486816757,-0.486816757,0.22789282779112,0.351738481,-20,-1.6770706,-0.269118961,0.21766146,0.356330009,-0.269118961
ago-07,13,0,13,1.154929708,0.15105740181264,-0.965991179,-0.965991179,0.22754742214669,0.11215127,-6,-0.482444967,-0.22645376,0.612973422,0.33667731,-0.22645376
set-07,26,3,26,2.247051887,0.00000000000000,0.072220068,0.072220068,0.15144392138568,-0.067539138,13,1.138832678,-0.162455958,1.11068645,0.372514306,-0.162455958
