Mese,inflazione: (Italia),deflazione: (Italia)
2010-01,39,3
2010-02,34,3
2010-03,29,4
2010-04,22,1
2010-05,23,4
2010-06,15,12
2010-07,21,4
2010-08,22,7
2010-09,20,3
2010-10,21,3
2010-11,25,3
2010-12,12,3
2011-01,38,1
2011-02,33,2
2011-03,31,3
2011-04,27,3
2011-05,27,2
2011-06,24,3
2011-07,28,2
2011-08,23,1
2011-09,26,4
2011-10,28,3
2011-11,37,2
2011-12,36,4
2012-01,37,4
2012-02,28,5
2012-03,33,2
2012-04,30,2
2012-05,27,5
2012-06,31,4
2012-07,23,3
2012-08,20,4
2012-09,19,2
2012-10,27,5
2012-11,23,3
2012-12,26,4
2013-01,31,4
2013-02,23,2
2013-03,20,2
2013-04,34,7
2013-05,27,6
2013-06,27,4
2013-07,17,3
2013-08,16,2
2013-09,18,2
2013-10,30,3
2013-11,35,15
2013-12,23,4
2014-01,35,14
2014-02,26,10
2014-03,25,9
2014-04,26,13
2014-05,25,5
2014-06,23,7
2014-07,20,6
2014-08,29,100
2014-09,20,29
2014-10,21,11
2014-11,15,7
2014-12,22,8
2015-01,32,23
2015-02,24,9
2015-03,24,6
2015-04,21,5
2015-05,25,4
2015-06,21,5
2015-07,14,2
2015-08,14,3
2015-09,21,4
2015-10,18,4
2015-11,22,4
2015-12,25,4
2016-01,24,7
2016-02,23,7
2016-03,24,13
2016-04,26,8
2016-05,26,8
2016-06,22,4
2016-07,10,3
2016-08,12,4
2016-09,17,4
2016-10,18,4
2016-11,22,3
2016-12,16,3
2017-01,27,33
2017-02,28,5
2017-03,27,5
2017-04,23,3
2017-05,27,5
2017-06,19,2
2017-07,12,2
2017-08,13,1
2017-09,17,1
2017-10,21,1
2017-11,19,2
2017-12,23,3
2018-01,24,3
2018-02,24,2
2018-03,21,3
2018-04,20,2
2018-05,26,2
2018-06,24,4
2018-07,13,2
2018-08,15,3
2018-09,21,3
2018-10,19,3
2018-11,27,3
2018-12,16,3
2019-01,27,3
2019-02,23,2
2019-03,21,3
2019-04,19,1
2019-05,20,4
2019-06,22,1
2019-07,17,1
2019-08,13,1
2019-09,19,1
2019-10,24,3
2019-11,18,2
2019-12,14,1
2020-01,25,4
2020-02,21,3
2020-03,30,3
2020-04,38,5
2020-05,36,5
2020-06,24,3
2020-07,15,3
2020-08,14,2
2020-09,17,3
2020-10,18,4
2020-11,20,3
2020-12,21,2
2021-01,29,5
2021-02,34,6
2021-03,35,3
2021-04,24,3
2021-05,36,2
