Mese,inflazione: (Italia),deflazione: (Italia)
gen-04,100,0
feb-04,50,8
mar-04,62,0
apr-04,48,0
mag-04,100,0
giu-04,42,0
lug-04,58,7
ago-04,17,0
set-04,47,0
ott-04,48,6
nov-04,42,0
dic-04,40,0
gen-05,50,0
feb-05,35,0
mar-05,18,0
apr-05,49,0
mag-05,45,0
giu-05,17,0
lug-05,22,0
ago-05,32,5
set-05,25,0
ott-05,35,0
nov-05,41,3
dic-05,21,0
gen-06,59,0
feb-06,30,3
mar-06,49,3
apr-06,17,0
mag-06,30,2
giu-06,21,0
lug-06,17,3
ago-06,35,3
set-06,26,0
ott-06,26,0
nov-06,17,0
dic-06,24,2
gen-07,47,2
feb-07,37,0
mar-07,33,3
apr-07,25,2
mag-07,35,3
giu-07,39,0
lug-07,19,0
ago-07,13,0
set-07,26,3
ott-07,23,0
nov-07,29,2
dic-07,37,0
gen-08,42,6
feb-08,41,6
mar-08,25,1
apr-08,45,2
mag-08,27,2
giu-08,36,1
lug-08,44,0
ago-08,22,0
set-08,39,1
ott-08,37,3
nov-08,27,46
dic-08,31,16
gen-09,42,5
feb-09,29,7
mar-09,25,5
apr-09,19,5
mag-09,30,4
giu-09,30,6
lug-09,28,4
ago-09,17,4
set-09,18,2
ott-09,31,2
nov-09,31,4
dic-09,25,1
gen-10,40,4
feb-10,24,1
mar-10,24,5
apr-10,20,1
mag-10,24,3
giu-10,15,5
lug-10,16,2
ago-10,16,8
set-10,21,4
ott-10,17,3
nov-10,20,2
dic-10,16,3
gen-11,28,2
feb-11,25,3
mar-11,28,3
apr-11,27,3
mag-11,23,2
giu-11,20,3
lug-11,20,2
ago-11,18,2
set-11,20,2
ott-11,19,1
nov-11,37,2
dic-11,29,5
gen-12,33,4
feb-12,18,4
mar-12,31,2
apr-12,22,2
mag-12,26,3
giu-12,24,4
lug-12,16,5
ago-12,18,3
set-12,20,3
ott-12,24,3
nov-12,20,3
dic-12,23,4
gen-13,32,3
feb-13,19,2
mar-13,20,1
apr-13,25,7
mag-13,23,5
giu-13,21,3
lug-13,14,2
ago-13,12,2
set-13,14,3
ott-13,20,2
nov-13,29,16
dic-13,19,5
gen-14,31,14
feb-14,25,9
mar-14,26,5
apr-14,22,14
mag-14,21,4
giu-14,22,5
lug-14,16,5
ago-14,25,77
set-14,17,24
ott-14,17,10
nov-14,12,6
dic-14,21,5
gen-15,25,19
feb-15,19,9
mar-15,23,6
apr-15,12,2
mag-15,25,2
giu-15,18,2
lug-15,16,2
ago-15,10,3
set-15,16,4
ott-15,15,2
nov-15,15,3
dic-15,22,4
gen-16,24,4
feb-16,21,4
mar-16,22,9
apr-16,24,8
mag-16,21,8
giu-16,14,4
lug-16,10,3
ago-16,10,3
set-16,11,3
ott-16,15,2
nov-16,17,4
dic-16,17,3
gen-17,20,27
feb-17,22,6
mar-17,21,2
apr-17,19,3
mag-17,23,4
giu-17,18,2
lug-17,14,2
ago-17,10,1
set-17,14,2
ott-17,19,1
nov-17,18,2
dic-17,15,3
gen-18,24,1
feb-18,18,3
mar-18,20,2
apr-18,16,2
mag-18,26,3
giu-18,20,2
lug-18,13,1
ago-18,12,1
set-18,17,3
ott-18,19,2
nov-18,21,2
dic-18,19,3
gen-19,22,2
feb-19,19,2
mar-19,15,2
apr-19,15,1
mag-19,17,2
giu-19,17,1
lug-19,16,< 1
ago-19,11,1
set-19,15,1
ott-19,17,2
nov-19,16,1
dic-19,17,1
gen-20,20,2
feb-20,16,3
mar-20,26,4
apr-20,30,4
mag-20,33,5
giu-20,21,3
lug-20,12,1
ago-20,13,3
set-20,16,2
ott-20,11,2
nov-20,16,3
dic-20,15,2
gen-21,24,4
feb-21,27,3
mar-21,31,2
apr-21,25,3
mag-21,28,2
